id,user_id,gender,generation,classification_type,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,total,level,mental,physical,life,society,created_at,updated_at
800,204,,,ver1,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,10,40,10,40,,,700,5,100,100,250,250,2021/4/21 18:51,2021/4/21 18:52
801,204,,,ver1,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,30,20,30,40,10,40,10,40,10,40,10,40,10,,,710,5,120,130,220,240,2021/4/21 18:53,2021/4/21 18:53
802,204,,,ver1,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,700,5,280,280,70,70,2021/4/21 18:54,2021/4/21 18:54
803,204,,,ver1,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,210,210,140,140,2021/4/21 18:56,2021/4/21 18:56
804,204,,,ver1,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,700,5,140,140,210,210,2021/4/21 18:58,2021/4/21 18:58
805,204,,,ver1,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,700,5,140,140,210,210,2021/4/21 19:38,2021/4/21 19:38
806,204,,,ver1,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,210,210,140,140,2021/4/21 19:59,2021/4/21 19:59
807,204,,,ver1,40,10,10,40,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,220,190,140,150,2021/4/21 21:07,2021/4/21 21:20
808,204,,,ver1,40,10,30,20,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,,,700,5,80,70,280,270,2021/4/21 22:21,2021/4/21 22:21
809,204,,,ver1,40,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,710,5,140,140,210,220,2021/4/21 22:22,2021/4/21 22:26
